Date,Layoffs
2014-04,2815
2014-05,2672
2014-06,2755
2014-07,2721
2014-08,2946
2014-09,3036
2014-10,2282
2014-11,2212
2014-12,2922
2015-01,4301
2015-02,5764
2015-03,7312
2015-04,2541
2015-05,2475
2015-06,3031
2015-07,3266
2015-08,3776
2015-09,3230
2015-10,3028
2015-11,1759
2015-12,3595
2016-01,4474
2016-02,6838
2016-03,8357
2016-04,3113
2016-05,3006
2016-06,4047
2016-07,3523
2016-08,3937
2016-09,3986
2016-10,3260
2016-11,1573
2016-12,3528
2017-01,5211
2017-02,7614
2017-03,9254
2017-04,5375
2017-05,3088
2017-06,3718
2017-07,4514
2017-08,4520
2017-09,4539
2017-10,3663
2017-11,1643
2017-12,4739
2018-01,5428
2018-02,3314
2018-03,4065
2018-04,3633
2018-05,4292
2018-06,4154
2018-07,4121
2018-08,4647
2018-09,4753
2018-10,3965
2018-11,1723
2018-12,5048
2019-01,6922
2019-02,9858
2019-03,1331
2019-04,4016
2019-05,3957
2019-06,4510
2019-07,4276
2019-08,4968
2019-09,4677
2019-10,3523
2019-11,1821
2019-12,5222
2020-01,6872
2020-02,5080
2020-03,3916
2020-04,2639
2020-05,2899
2020-06,3370
2020-07,3740
2020-08,2927
2020-09,3986
2020-10,4217
2020-11,1738
2020-12,5221
2021-01,6424
2021-02,9842
2021-03,3076
2021-04,3934
2021-05,3162
2021-06,4286
2021-07,4676
2021-08,5010
2021-09,4874
2021-10,4633
2021-11,1659
2021-12,5951
2022-01,6981
2022-02,9851
2022-03,2670
2022-04,4348
2022-05,3564
2022-06,4577
2022-07,4788
2022-08,4618
2022-09,5312
2022-10,4298
2022-11,1413
2022-12,4900
