Date,Layoffs
2014-04,196
2014-05,392
2014-06,265
2014-07,194
2014-08,205
2014-09,161
2014-10,134
2014-11,115
2014-12,279
2015-01,181
2015-02,182
2015-03,309
2015-04,455
2015-05,208
2015-06,109
2015-07,187
2015-08,322
2015-09,118
2015-10,235
2015-11,143
2015-12,439
2016-01,324
2016-02,298
2016-03,107
2016-04,690
2016-05,111
2016-06,490
2016-07,209
2016-08,307
2016-09,199
2016-10,121
2016-11,489
2016-12,254
2017-01,433
2017-02,349
2017-03,196
2017-04,637
2017-05,85
2017-06,617
2017-07,205
2017-08,161
2017-09,134
2017-10,115
2017-11,279
2017-12,181
2018-01,231
2018-02,309
2018-03,455
2018-04,208
2018-05,89
2018-06,187
2018-07,322
2018-08,122
2018-09,235
2018-10,143
2018-11,439
2018-12,324
2019-01,298
2019-02,107
2019-03,690
2019-04,209
2019-05,490
2019-06,209
2019-07,307
2019-08,199
2019-09,121
2019-10,133
2019-11,254
2019-12,433
2020-01,349
2020-02,196
2020-03,637
2020-04,85
2020-05,617
2020-06,205
2020-07,161
2020-08,134
2020-09,115
2020-10,279
2020-11,181
2020-12,1082
2021-01,309
2021-02,455
2021-03,208
2021-04,409
2021-05,187
2021-06,322
2021-07,722
2021-08,235
2021-09,143
2021-10,439
2021-11,324
2021-12,298
2022-01,107
2022-02,690
2022-03,711
2022-04,490
2022-05,209
2022-06,307
2022-07,199
2022-08,121
2022-09,489
2022-10,254
2022-11,433
2022-12,349
